Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin,index_right,HYBAS_L12,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,DIS_AV_CMS,ORD_STRA
1,G090594E27960N,MChgr16_532,90.594,27.96,0.154,5520,5336,5432.0,55.0,24.0,2.0,257.0,Chamkhar Chhu,83727,4120833520,3.036470553454231,773.2294132008273,11.023529529571533,13.21764694592532,0.8693529384977676,3.0
2,G090606E27981N,MChgr16_533,90.606,27.981,0.136,5405,5205,5300.0,61.0,23.0,0.0,223.0,Chamkhar Chhu,83727,4120833520,3.036470553454231,773.2294132008273,11.023529529571533,13.21764694592532,0.8693529384977676,3.0
3,G090609E27988N,MChgr16_541,90.609,27.988,0.675,5559,5237,5379.0,80.0,22.0,0.0,240.0,Chamkhar Chhu,83727,4120833520,3.036470553454231,773.2294132008273,11.023529529571533,13.21764694592532,0.8693529384977676,3.0
4,G090615E27983N,MChgr16_534,90.615,27.983,0.474,5486,5206,5369.0,70.0,20.0,1.0,185.0,Chamkhar Chhu,83728,4120833530,2.4927272417328576,765.7545332475142,13.60000012137673,9.726363680579446,1.739727260036902,3.0
5,G090621E27980N,MChgr16_535,90.621,27.98,0.543,5601,5222,5426.0,66.0,18.0,0.0,188.0,Chamkhar Chhu,83728,4120833530,2.4927272417328576,765.7545332475142,13.60000012137673,9.726363680579446,1.739727260036902,3.0
6,G090739E27919N,MChgr16_582,90.739,27.919,0.222,5310,5160,5252.0,58.0,19.0,1.0,268.0,Chamkhar Chhu,83728,4120833530,2.4927272417328576,765.7545332475142,13.60000012137673,9.726363680579446,1.739727260036902,3.0
7,G090743E27924N,MChgr16_581,90.743,27.924,0.219,5365,5201,5283.0,44.0,17.0,0.0,139.0,Chamkhar Chhu,83775,4121464200,2.973124973475933,776.1062545776367,9.543749928474426,13.870624914765358,0.6246249862015247,3.0
8,G090753E27923N,MChgr16_580,90.753,27.923,0.07,5238,5114,5173.0,50.0,23.0,0.0,315.0,Chamkhar Chhu,83659,4120836690,3.2763635976748033,756.109092018821,11.118181835521352,14.786363753405483,0.6879090842875568,3.0
9,G090769E27931N,MChgr16_579,90.769,27.931,0.359,5398,5159,5289.0,43.0,16.0,0.0,220.0,Chamkhar Chhu,83659,4120836690,3.2763635976748033,756.109092018821,11.118181835521352,14.786363753405483,0.6879090842875568,3.0
10,G090527E27929N,MChgr16_508,90.527,27.929,0.478,5493,5132,5342.0,54.0,20.0,0.0,122.0,Chamkhar Chhu,83727,4120833520,3.036470553454231,773.2294132008273,11.023529529571533,13.21764694592532,0.8693529384977676,3.0
